EMPLOYMENT STATUS,,,,,,,,,,,,,,,,,,,COMMUTING TO WORK,,,,,,,,,OCCUPATION,,,,,
ZCTA,ZCTA Numeric,Population 16 Years and Over,Population 16 years and over - In labor force,Population 16 years and over - In labor force - Civilian labor force,Employed Civilian Labor Force (%),Unemployed Civilian Labor Force (%),Armed Forces (%),Not in Labor Force (%),Civilian labor force,Civilian Labor Force Unemployment Rate,Females 16 years and over,Females 16 years and over - In labor force,Females 16 years and over - In labor force - Civilian labor force,Females 16 years and over - In labor force - Civilian labor force - Employed,Population 16 Years and Over With Children Under 6,Both Parents Working (% Of Adults with Children Under 6),Population 16 Years and Over With Children 6-17,Both Parents Working (% Of Adults with Children 6-17),ZCTA Numeric2,Average Travel Time To Work (Minutes),Workers 16 years and over,Drove Alone  (%),Carpooled  (%),Public Transportation  (%),Walked  (%),Other Means  (%),Worked From Home  (%),Civilian employed population 16 years and over,"Management, business, science, and arts occupations (%)",Service occupations (%),Sales and office occupations (%),"Natural resources, construction, and maintenance occupations (%)","Production, transportation, and material moving occupations (%)"
00601,601,14279,39,39,29.2,9.8,0,61,5566,25.1,7231,30.9,30.9,24.9,835,36.9,2335,53.9,601,26.1,4141,77.3,5,0,8.6,3.3,5.7,4170,24.1,31.4,17.9,14.1,12.5
00602,602,32352,37.8,37.8,34.9,2.9,0,62.2,12218,7.7,16570,31,31,29,1555,70,4575,62.5,602,21.2,11166,73.1,15.1,0.8,3.3,1.7,5.9,11279,24.4,24.1,26.3,12.6,12.6
00603,603,41520,38.2,38,31.5,6.5,0.2,61.8,15784,17.2,21572,32.2,32.1,26,2146,45.2,6106,56.8,603,21.3,12133,86.4,3.7,0.5,2.8,2,4.6,13072,30.7,21.3,23.8,10.6,13.5
00606,606,4911,33.3,33.3,31,2.3,0,66.7,1633,6.9,2462,26.2,26.2,25.4,246,72.4,676,32.8,606,20.6,1520,86.9,5.3,0,5.8,0,2,1520,10.4,22.2,17.2,21.3,29
00610,610,22384,42.3,42.3,38.5,3.8,0,57.7,9464,9,11557,37.4,37.4,33.8,1005,76.2,3224,66,610,22.5,8567,77.6,15.1,0.3,1.3,2.1,3.7,8609,23.3,24,24.1,9.2,19.4
00611,611,1059,52.1,52.1,41.3,10.9,0,47.9,552,20.8,503,46.3,46.3,28,142,100,82,0,611,49.9,437,81.5,0,0,8.9,0,9.6,437,24,21.5,17.6,3,33.9
00612,612,53894,40.4,40.3,32.8,7.4,0.1,59.6,21706,18.4,29332,35,35,28.9,3234,63,8508,67.1,612,24.6,16880,88.4,4.1,0.5,1.3,0.3,5.3,17704,28.7,18.5,27.5,9,16.3
00616,616,8988,45.9,45.9,36.6,9.3,0,54.1,4125,20.3,4574,41.4,41.4,33.4,239,77.4,1036,71.2,616,25.5,3147,91.6,7.4,0,0,0,1,3287,22.8,26.5,30.6,10.3,9.7
00617,617,19100,41.6,41.6,35,6.6,0,58.4,7952,15.9,10192,40.3,40.3,35.5,1025,65.7,2952,68.2,617,26.3,6172,91.3,4.8,0.2,2,0,1.6,6691,31,17.4,29.2,9.4,13
00622,622,6953,39.7,39.7,31.9,7.8,0,60.3,2757,19.6,4144,34.4,34.4,30.6,223,43,617,83.5,622,29.6,2168,87.9,4.7,0,0.5,0,7,2216,22.6,18.7,29.3,12.3,17.1
00623,623,33707,41.9,41.9,35.9,6,0,58.1,14119,14.4,17484,36.4,36.4,31,1695,59.4,5291,63.8,623,23.8,11779,85.3,4.9,1,3.2,0,5.5,12087,27.8,17.3,29.7,13.2,12
00624,624,17871,40.1,40.1,34.4,5.7,0,59.9,7162,14.1,9261,33.5,33.5,28.6,1227,36.7,3125,55.4,624,27.6,6067,89.2,2.8,0,1.2,4.4,2.5,6152,24.4,25.5,22.6,12.8,14.8
00627,627,27943,39.2,38.8,36,2.7,0.5,60.8,10836,7.1,14692,33.3,33.3,30.8,1398,46.6,4177,57.9,627,30.9,9983,94.3,2.4,0,0.3,0.3,2.7,10072,30,17,28.6,10.9,13.6
00631,631,935,31.8,31.8,23.9,7.9,0,68.2,297,24.9,530,34.7,34.7,23.8,12,0,168,40.5,631,43.7,198,86.4,13.6,0,0,0,0,223,37.7,29.1,8.5,17.5,7.2
00636,636,966,36.2,36.2,36.2,0,0,63.8,350,0,456,41.9,41.9,41.9,70,38.6,251,69.3,636,23,350,100,0,0,0,0,0,350,49.4,15.1,22.3,7.4,5.7
00637,637,19328,38.5,38.4,31.7,6.7,0.1,61.5,7426,17.6,10262,32.6,32.6,27.5,378,60.1,3510,84.6,637,23.6,6068,84,5.3,1.7,4.9,2.1,2.1,6122,28.1,28.1,21.9,10.4,11.5
00638,638,14703,32.8,32.8,24.5,8.3,0,67.2,4819,25.2,7549,28.4,28.4,22.3,818,65.6,2189,61.1,638,34.9,3514,86.9,7.6,0.4,2.6,0.6,1.8,3606,20.3,24.7,18.2,17.4,19.5
00641,641,21250,38,38,26.3,11.7,0,62,8072,30.7,11152,36.8,36.8,24.5,1053,49.2,3182,66.4,641,34.7,5503,91.5,2,0,3,0,3.6,5593,29.1,23.4,26.3,10.9,10.3
00646,646,30111,48.9,48.5,40.7,7.8,0.3,51.1,14607,16.1,15663,43.2,43.2,37,1800,77.8,5124,72.2,646,33.5,12224,80.6,7.5,0.1,2.9,0.7,8.2,12258,38,17.1,27,8.4,9.5
00647,647,4122,36,36,22.6,13.4,0,64,1483,37.2,2150,30.6,30.6,22.8,323,32.2,796,63.7,647,23.2,911,91,2,0,4.3,0,2.7,931,40.6,14.5,21.4,13.6,9.9
00650,650,11862,44.2,44.2,33.8,10.4,0,55.8,5243,23.4,6231,37.5,37.5,25.2,865,68.2,1788,51.8,650,26.6,3937,85.6,5.1,0.4,8.1,0,0.8,4014,24.7,12.8,30.1,12.6,19.8
00652,652,2799,41.9,41.9,36,5.9,0,58.1,1172,14.1,1464,41.7,41.7,31.8,90,100,353,41.6,652,23.1,939,75.4,17.6,0,2.6,1.7,2.8,1007,8.4,12.9,43.3,23.9,11.4
00653,653,7680,38.2,38.2,25.8,12.4,0,61.8,2933,32.5,4044,29.6,29.6,23.8,263,57.4,1168,45.4,653,16.5,1958,91.7,2.2,0,4.6,0,1.5,1980,29.8,27.3,22.9,1.5,18.5
00656,656,15488,38.6,38.6,30,8.7,0,61.4,5986,22.5,8148,33.7,33.7,27.6,797,56.7,2512,54.9,656,23.5,4574,94.9,1.2,0,1,2.3,0.6,4639,35.9,20.2,20.3,11.9,11.7
00659,659,32080,41.4,41.3,38.4,2.9,0.1,58.6,13265,7,16830,34.4,34.4,32.3,1650,45.5,4643,52.7,659,26.8,12210,94.6,0.1,0.1,0.8,0.4,3.9,12331,34.9,21,23.9,10.7,9.5
00660,660,13547,45.5,45.3,36.4,8.9,0.1,54.5,6143,19.7,7464,40.7,40.7,34.2,506,72.9,1721,68.6,660,23.3,4857,91,5.3,1.8,0.6,0,1.3,4932,32.4,14.2,35.1,7.5,10.9
00662,662,34535,34.9,34.9,31.7,3.2,0,65.1,12036,9.2,17970,30.6,30.6,27.5,1684,46.7,4953,59.3,662,24.8,10867,86.8,7.2,0,3.8,0.4,1.7,10931,27.8,21.4,25.5,8.6,16.6
00664,664,12365,35.1,35.1,28.6,6.5,0,64.9,4346,18.5,6176,28.7,28.7,23.2,672,61.2,2266,49.6,664,23.4,3498,86.1,6.9,0.4,4.7,0,2,3540,27,21.1,16.4,10.4,25.1
00667,667,20314,38.5,38.5,30.3,8.2,0,61.5,7818,21.3,10521,37.1,37.1,29.9,852,36.4,2808,56.5,667,23.3,6061,88.9,4.5,0,2.2,0,4.4,6150,25.4,19.7,24.7,8.6,21.5
00669,669,23532,37.5,37.5,33.1,4.5,0,62.5,8836,11.9,12054,32.6,32.6,28,1267,55.7,3495,61.7,669,32.7,7597,90.7,3.8,0.6,2.6,0.4,1.9,7783,30.2,20.1,20.4,14,15.3
00670,670,7280,33.6,33.6,31.3,2.3,0,66.4,2446,7,3705,27.6,27.6,24.3,396,25.5,1335,47.5,670,25.7,2270,92.9,6.4,0,0,0,0.6,2276,35,23.5,13,15.9,12.6
