WORLD REGION OF BIRTH,,,,,,,LANGUAGE SPOKEN HOME,,,,,,SEX AND AGE,,,,,,,,,,,,,,,,,,,,,,,
"Foreign-born population, excluding population born at sea",Europe,Asia,Africa,Oceania,Latin America,Northern America,LANGUAGE SPOKEN AT HOME - Population 5 years and over,English only,Spanish,Other Indo-European languages,Asian and Pacific Islander languages,Other languages,Total population2,Male,Female,Sex ratio (males per 100 females),Under 5 years,5 to 9 years,10 to 14 years,15 to 19 years,20 to 24 years,25 to 34 years,35 to 44 years,45 to 54 years,55 to 59 years,60 to 64 years,65 to 74 years,75 to 84 years,85 years and over,Median age (years),Under 18 years,16 years and over,18 years and over,21 years and over,62 years and over,65 years and over
Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,17126,8451,8675,97.4,643,811,1166,1016,1054,2122,1967,2350,1237,1282,1986,1088,404,43.7,3210,14279,13916,13249,4183,3478
Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,37895,18588,19307,96.3,1267,1671,2154,2259,2406,4742,4680,5082,2736,3130,4605,2349,814,44.4,6449,32352,31446,29921,9741,7768
Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,49136,23817,25319,94.1,1873,2037,3099,3196,2998,5908,5962,6312,3259,3467,6225,3774,1026,44.1,8818,41520,40318,38155,13057,11025
Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,5751,2817,2934,96,223,259,312,361,388,650,691,731,385,442,760,273,276,44.9,1004,4911,4747,4418,1584,1309
Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,26153,12678,13475,94.1,838,1369,1369,1513,1712,3353,3295,3688,1649,1944,3010,1952,461,43.5,4491,22384,21662,20793,6690,5423
Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,1283,636,647,98.3,85,101,38,0,132,145,88,281,81,64,118,114,36,47.2,224,1059,1059,1059,308,268
Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,64090,29905,34185,87.5,2649,3088,3880,4184,3904,7782,7505,7827,4642,3895,7662,5037,2035,43.5,12166,53894,51924,49408,16745,14734
Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,10186,4935,5251,94,233,386,481,519,916,1436,1047,2037,627,377,1077,713,337,45.3,1329,8988,8857,8388,2354,2127
Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,22803,10855,11948,90.9,856,1121,1373,1602,1489,3090,3091,3040,1305,1305,2412,1522,597,42.4,4272,19100,18531,17463,5278,4531
Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,7751,3164,4587,69,180,173,445,260,408,1274,680,1053,580,274,1154,960,310,48.3,878,6953,6873,6693,2647,2424
