RACE,,,,,,,,,HISPANIC/LATINO,,,HOUSING OCCUPANCY,,,,
Total population3,One race (%),White (%),Black or African American (%),American Indian and Alaska Native (%),Asian (%),Native Hawaiian and Other Pacific Islander (%),Some other race (%),Two or more races (%),Total population4,Hispanic or Latino (%),Not Hispanic or Latino (%),Total housing units,Occupied housing units,Vacant housing units,Homeowner vacancy rate (%),Rental vacancy rate (%)
17126,94.8,84.5,1.4,0.1,0,0,8.9,5.2,17126,99.5,0.5,7306,5397,1909,0.4,2.3
37895,67.3,61.3,1.8,0.1,0.1,0,3.9,32.7,37895,94.1,5.9,17311,12858,4453,0.3,12.2
49136,92.4,74.3,3.4,0.1,0.1,0,14.5,7.6,49136,97.9,2.1,24771,19295,5476,1.7,3.3
5751,95.5,57.7,0.5,0.4,0,0,36.9,4.5,5751,99.3,0.7,2786,1968,818,3.8,0
26153,68.6,60.5,2.5,0,0,0,5.7,31.4,26153,95.8,4.2,12494,8934,3560,1.7,11.2
1283,93.6,50,1,0,0,0,42.6,6.4,1283,95.1,4.9,694,514,180,0,0
64090,80.2,51.8,3,0.1,0.8,0,24.5,19.8,64090,99.2,0.8,30280,23319,6961,1.8,5.2
10186,83,56.7,6.3,0,1.4,0,18.6,17,10186,99.7,0.3,4568,3342,1226,3.3,6.3
22803,76.3,51,4.1,0.2,1.4,0,19.6,23.7,22803,99.3,0.7,9878,7820,2058,2.6,11.1
7751,86.9,38,4.4,0,0,0,44.4,13.1,7751,98.6,1.4,8395,2789,5606,7.4,19.5
39652,89,33.7,3.7,0.5,0.5,0,50.5,11,39652,99.3,0.7,20507,13933,6574,0.8,4
21912,94.9,72.2,2.8,0,0.1,0,19.8,5.1,21912,99.1,0.9,9098,7194,1904,3,0.9
32885,96.5,89,1.4,0,0,0,6,3.5,32885,99.3,0.7,14071,11367,2704,1.6,5.9
1098,100,97.9,0,0,0,0,2.1,0,1098,100,0,585,396,189,0,0
1174,94,61.7,0,0,0,0,32.3,6,1174,100,0,325,296,29,0,0
23016,93.3,63.8,1.5,0.3,0,0,27.6,6.7,23016,99,1,10989,7005,3984,16.1,16.1
17689,78.7,68.6,2.3,1.2,0.4,0,6.1,21.3,17689,99.2,0.8,7930,6032,1898,1.1,7.8
24915,96.7,50.1,1.4,0,0.1,0,45.1,3.3,24915,98.8,1.2,11433,8724,2709,3.8,2.8
36142,70.3,55.7,8.7,0,0,0,5.8,29.7,36142,97,3,15833,11863,3970,0.9,9.8
5198,96.3,45.2,5.1,0,0,0,46.1,3.7,5198,99.1,0.9,3542,1927,1615,19.4,11
14301,79.6,57.9,1.6,0,1,0,19,20.4,14301,99.2,0.8,6037,5157,880,1.1,2.5
3193,75.4,58.7,2.5,1.2,1.5,0,11.5,24.6,3193,97.1,2.9,1564,1250,314,0,0
9099,93.8,58.6,4.7,0.2,0,0,30.3,6.2,9099,98.4,1.6,5894,3591,2303,8.7,5.3
18633,96,75.9,1.7,0.2,0.6,0,17.7,4,18633,99.7,0.3,8409,6513,1896,0.7,4.6
37525,94.2,85.3,2.1,0.1,0,0,6.7,5.8,37525,99.6,0.4,16522,13214,3308,1.5,7.2
15630,95.9,18.3,2.2,0,0,0,75.4,4.1,15630,99.1,0.9,7564,6220,1344,2.1,3.5
40503,91,56.9,6.8,0.1,0.1,0,27.1,9,40503,98.2,1.8,18950,13974,4976,1.6,5.9
15132,96.9,52.8,3,0,0,0,41.1,3.1,15132,98.8,1.2,6317,5120,1197,1.4,1.8
23665,92.3,33.3,1.5,0,0,0,57.4,7.7,23665,98,2,12122,7849,4273,7.1,3
27763,97.1,82.5,1.8,0.1,0,0,12.8,2.9,27763,99,1,12173,9745,2428,2,3.4
8744,93.5,54.3,0.7,0,0,0,38.5,6.5,8744,99.2,0.8,3979,2639,1340,0.4,0
39569,74.7,57.6,3.3,0.1,0.3,0,13.5,25.3,39569,97.9,2.1,18488,14437,4051,2.5,13.8
36849,93.9,76.2,4.2,0.3,0.1,0,13.2,6.1,36849,99.4,0.6,15875,13032,2843,0.2,3.8
15225,57.4,51.6,1.4,0,0,0,4.4,42.6,15225,92.1,7.9,9417,5763,3654,3.9,18.6
25763,91.8,75.9,2.7,0.2,0,0,12.9,8.2,25763,98,2,11363,8985,2378,3.2,2.6
43070,95.8,19.2,2.7,0,0,0,73.8,4.2,43070,99.6,0.4,25133,17636,7497,3.8,11.1
31816,93.8,20.5,3.1,0,0,0,70.1,6.2,31816,98.7,1.3,16048,11916,4132,3.1,8.9
29664,93.3,62.5,1.4,0.1,0,0.1,29.2,6.7,29664,98.8,1.2,14807,10721,4086,1.9,3.5
40169,92.1,64.4,3.2,0,0.4,0,24.1,7.9,40169,96.2,3.8,18668,14152,4516,1.9,5.3
29069,74.9,62.3,4,0,0,0,8.5,25.1,29069,99.6,0.4,11935,9654,2281,3.3,4.4
11552,94.7,43.7,1.8,0.2,0.9,0,48.1,5.3,11552,99.6,0.4,5163,4066,1097,2.2,2.1
6217,86.1,76.2,3.3,0,0,0,6.6,13.9,6217,99.7,0.3,2605,2187,418,0,4.3
33646,76.9,45.7,7.8,0,0,0,23.4,23.1,33646,99.1,0.9,15174,11537,3637,1.5,1.8
56146,76.2,55.6,5,0.1,0,0,15.5,23.8,56146,97.8,2.2,25211,20194,5017,2.3,9.5
86,48.8,32.6,0,0,0,0,16.3,51.2,86,100,0,69,28,41,0,-
34016,92.4,71.3,3.8,0.1,0,0,17.3,7.6,34016,98.9,1.1,17461,11647,5814,14.3,12.8
25001,62.2,42.1,5.9,1.1,0,0,13.1,37.8,25001,99.4,0.6,11082,9057,2025,1.4,9.5
7179,74,37.8,28,0.1,0,0,8,26,7179,98.7,1.3,3593,2543,1050,5.2,4.4
24414,67.7,49,14,0.6,0,0,4.1,32.3,24414,99.8,0.2,9747,8683,1064,0.6,3.4
10615,96.9,6.8,52.6,0,0,0,37.5,3.1,10615,99.6,0.4,4998,3845,1153,0,0
16183,90.4,57.4,24.9,0,0,0,8.1,9.6,16183,99.5,0.5,8226,6147,2079,1.2,2.3
2012,73.7,43.9,11.1,0,0,0,18.6,26.3,2012,100,0,1013,801,212,0,14.9
27746,80,68.2,6.3,0.1,0.1,0,5.3,20,27746,99.1,0.9,13391,11125,2266,0.7,4.6
14568,76.2,61,6.7,0.5,0,0,8,23.8,14568,99.3,0.7,8947,6398,2549,3.1,12.1
23412,94.5,45.7,1.6,0,0.1,0,47.1,5.5,23412,99,1,11192,8105,3087,1.2,8.4
29555,69.3,58.5,7.2,0,0,0,3.6,30.7,29555,100,0,10619,8456,2163,1.6,2.5
20717,75.6,61.5,4.6,0.3,0,0,9.2,24.4,20717,99.3,0.7,8370,6495,1875,1.6,4
16265,96.3,6.4,54.5,0,0,0,35.4,3.7,16265,100,0,8368,5882,2486,1.8,0
79153,88.9,61.3,8.8,0.4,0.2,0,18.2,11.1,79153,98,2,36022,29994,6028,2.5,8.8
52829,89.8,62.9,9.8,0.2,0.4,0,16.5,10.2,52829,98.5,1.5,22814,19267,3547,1.5,6.7
39669,86.7,69.5,6.5,0.1,0.1,0,10.6,13.3,39669,99.4,0.6,15626,13021,2605,2.5,6.2
48227,91.5,38.9,13.3,0,0.6,0,38.5,8.5,48227,99.9,0.1,19789,16529,3260,2,1.8
33251,69.1,57.7,4.4,0.1,0,0,6.9,30.9,33251,99.3,0.7,16560,12806,3754,1.3,5.7
11131,70.1,60.8,5.8,0,0,0,3.4,29.9,11131,99.8,0.2,5488,3933,1555,1.7,4.5
11621,89.2,34.9,6.5,0.4,0.7,0,46.8,10.8,11621,98.7,1.3,7293,4129,3164,3.7,9
46167,65.5,43,8.8,0.1,0.2,0,13.4,34.5,46167,99.7,0.3,21347,17400,3947,1.6,5.7
30468,77.9,40.1,8.3,0.1,0.2,0,29.2,22.1,30468,99.2,0.8,17466,11564,5902,4.5,5
35105,78.4,49.9,11.9,0.2,0,0,16.5,21.6,35105,99.5,0.5,14169,11792,2377,2.5,2.7
2020,83.2,33.8,7.4,0,0,0,41.9,16.8,2020,100,0,949,643,306,3.8,4.3
3899,94.9,24.5,25.8,0,0,0,44.6,5.1,3899,99.5,0.5,2008,1394,614,1.1,11.7
48282,82.6,36.7,12.8,0.1,0.4,0,32.7,17.4,48282,99.3,0.7,22945,15803,7142,2.1,4.2
19768,71.1,39.3,27.3,0.2,0,0,4.3,28.9,19768,99.8,0.2,9848,7538,2310,2.2,4.3
37012,95,29,30.1,0,0.3,0,35.7,5,37012,99.6,0.4,15612,13248,2364,0.7,1.7
20366,65.7,37,25,0.1,0,0,3.6,34.3,20366,99.9,0.1,9045,7203,1842,3.2,2.8
8317,96.2,31.2,7.6,0,0.2,0,57.3,3.8,8317,92.1,7.9,4967,2374,2593,11.7,24.8
22416,65.5,47,8,0,0,0,10.5,34.5,22416,99.6,0.4,9523,7873,1650,1.8,0.7
31450,97.3,10.6,51.4,0,0,0,35.3,2.7,31450,99.9,0.1,14620,12011,2609,0.6,1.5
35126,67.2,44.2,19.5,0,0,0,3.5,32.8,35126,99.7,0.3,16063,12975,3088,1.3,9.3
34882,97.8,11.2,49.1,0.1,0.1,0,37.4,2.2,34882,99.7,0.3,14805,11857,2948,0.4,4.3
18148,97.4,11.7,43.9,0,0.1,0,41.8,2.6,18148,99.8,0.2,8967,6580,2387,2.5,1.6
17917,80.2,39,7.6,0.1,0.2,0,33.3,19.8,17917,99.3,0.7,10411,6803,3608,2.6,2.8
1293,96.6,35,2.4,0,0.9,0,58.3,3.4,1293,91.6,8.4,1464,489,975,5.5,53.3
38267,83.7,36.8,19.6,0.2,0.2,0,26.8,16.3,38267,99.5,0.5,16202,13352,2850,0.9,4.4
