UNITS IN STRUCTURE,,,,,,,,,,YEAR BUILT,,,,,,,,,,,BEDROOMS,,,,,,
Total housing units2,"1-unit, detached (%)","1-unit, attached (%)",2 units (%),3 or 4 units (%),5 to 9 units (%),10 to 19 units (%),20 or more units (%),Mobile home (%),"Boat, RV, van, etc. (%)",Total housing units3,Built 2020 or later (%),Built 2010 to 2019 (%),Built 2000 to 2009 (%),Built 1990 to 1999 (%),Built 1980 to 1989 (%),Built 1970 to 1979 (%),Built 1960 to 1969 (%),Built 1950 to 1959 (%),Built 1940 to 1949 (%),Built 1939 or earlier (%),Total housing units4,No bedroom (%),1 bedroom (%),2 bedrooms (%),3 bedrooms (%),4 bedrooms (%),5 or more bedrooms (%)
7306,79,12.8,0.8,2.3,2.2,2,0.8,0,0,7306,0,3.4,10,14.2,23.1,23.5,13.4,7.2,2.6,2.5,7306,1.5,4.6,22.6,58.2,11.4,1.7
17311,72.2,2.9,18.9,4.1,1,0.2,0.7,0,0,17311,0,1.7,7.8,12.4,20.9,35.6,14.5,5.1,1.5,0.5,17311,1.2,2.5,25.5,60.6,8.8,1.3
24771,67.9,16.5,1.2,1.3,2.5,7,3.5,0.1,0,24771,0,2.1,15.4,13.4,20.1,18.2,12.9,10.5,4.9,2.6,24771,1.4,5.2,22.5,55.6,12.7,2.7
2786,85.4,9.9,0.3,1.1,2.1,1.2,0,0,0,2786,0,1.3,11.1,17.2,15.9,23.8,15.2,4.2,5.9,5.5,2786,0.6,4.6,30.4,51.8,11.8,0.8
12494,74.6,3.8,15.9,2.5,1.5,0.5,0.8,0.4,0,12494,0,0.8,10.4,14.1,20.1,29.5,17.9,5.6,1,0.6,12494,1.3,4,22.7,64.1,7.3,0.6
694,75.6,13.1,4.9,6.3,0,0,0,0,0,694,0,2.7,19.2,33.7,26.7,8.1,6.6,0,3,0,694,0,6.6,8.9,61.7,22.8,0
30280,83.5,5.5,1,2.1,2.9,2.9,2,0.2,0,30280,0,0.6,14.2,14,14.2,25.5,17.4,9,2.2,2.9,30280,1.3,5.4,20.6,59.4,11.3,2
4568,94.6,2.5,0,0.3,0,0.2,2,0,0.3,4568,0,1.4,15.1,18,19.9,25.2,10.2,6.5,3.2,0.5,4568,0.6,6.5,25.1,58.9,8.1,0.8
9878,85.8,7.2,1,1.5,3.7,0,0.4,0.5,0,9878,0,0,19.3,20.5,16.3,26.5,13.8,2.5,0,1,9878,0.9,2.7,19,63.5,13,1
8395,65.6,4.1,4.7,1.7,5.2,5.6,3.2,9.8,0,8395,0,4.3,19,29.8,18.4,17.2,5.8,3.5,1.5,0.5,8395,1.5,10.4,35.9,43.1,7.5,1.6
20507,84.3,3.1,3.9,1.9,2.1,1.5,1.7,1.6,0,20507,0,1.9,15.5,22,18.7,24.8,9.5,5.8,1.4,0.4,20507,0.9,5.9,24.9,57.3,10.1,0.9
9098,85,13.6,0.2,0.5,0.6,0,0,0.1,0,9098,0,2.4,11.3,20.7,22.3,22.1,13.5,3.1,2.3,2.4,9098,1.4,3.1,16.1,65.4,12,1.9
14071,85.7,10.6,0.8,0.6,1.4,0.5,0.1,0.2,0,14071,0,3,16.1,17.8,20.3,20.4,13.6,7.4,1,0.6,14071,0.8,3.6,20.9,65.2,9,0.5
585,73.5,15.7,1.4,0,1,2.7,5.6,0,0,585,0,1.4,8.9,10.8,12.8,23.8,14.9,4.4,2.9,20.2,585,5.6,0,26.8,46.3,21.2,0
325,81.2,8,0,0,10.8,0,0,0,0,325,0,0,0,18.2,10.2,39.4,23.4,0,8.9,0,325,0,0,27.1,65.5,7.4,0
10989,82.5,12.3,0.5,0.8,2.3,0.6,0.9,0.2,0,10989,0,2.3,3.5,22.1,34.3,23.5,8,4.6,0.8,0.8,10989,2.2,1.8,8.8,81.7,4.3,1.2
7930,82.8,12.6,0.1,0.4,0.7,1.5,1.6,0.4,0,7930,0,1.4,7.4,21.4,26.4,21.9,13.9,4.8,1.7,1.1,7930,0.6,3.6,23.9,56.2,14.6,1.1
11433,81.8,9.1,3,2.6,2.5,0.5,0,0.5,0,11433,0,0.7,9.1,17.7,20.7,25.9,16.2,4.7,3.3,1.7,11433,0.6,3.6,17.1,61.6,14.2,2.8
15833,72,21.4,1.4,2.2,2,0.3,0,0.7,0,15833,0,2.8,20.6,15.2,19.1,21.7,11.2,6.7,2,0.8,15833,1.6,3.8,20,49.9,23.7,1
3542,81.3,14.9,0,0,2.2,0.7,0.5,0.4,0,3542,0,2.6,4,17.2,30.4,31.6,13,0.3,0.9,0,3542,1.2,2.8,7.7,83,4.3,1.1
6037,91.1,4.8,1.1,0,2.4,0.7,0,0,0,6037,0,0.5,23.7,11.9,19.2,29.7,10.5,3.2,1.3,0,6037,0,2.9,20.1,64,11.6,1.4
1564,94.7,2.2,1,2.1,0,0,0,0,0,1564,0,3.2,32.4,16.9,12.9,15.7,8.5,10.4,0,0,1564,0,3.1,19.2,54.7,21.1,1.8
5894,81.9,11.2,0.1,1.9,4,0.7,0.2,0,0,5894,0,0.5,3.5,21.5,24.9,27.5,16.1,4.9,0.8,0.3,5894,2.4,0.5,12.8,80.8,2.8,0.7
8409,86.1,10.3,1.2,0.8,0.6,0.8,0,0.2,0,8409,0.2,1.3,8.2,14.3,16.9,26,17.5,10.3,3,2.4,8409,0.8,3.9,20.1,61.5,11.1,2.5
16522,82.4,11.4,0.6,1.7,2.6,1,0,0.3,0,16522,0.2,3.9,17.3,20.3,24,19,9.8,3.7,1.6,0.1,16522,1.9,2.4,24.9,57.2,12.4,1.1
