HOUSING TENURE,,,,,VEHICLES AVAILABLE,,,,,HOUSE HEATING FUELS,,,,,,,,,
Occupied housing units2,Owner-occupied,Renter-occupied,Average household size of owner-occupied unit,Average household size of renter-occupied unit,Occupied housing units3,No vehicles available (%),1 vehicle available (%),2 vehicles available (%),3 or more vehicles available (%),Occupied housing units4,Utility gas (%),"Bottled, tank, or LP gas (%)",Electricity (%),"Fuel oil, kerosene, etc. (%)",Coal or coke (%),Wood (%),Solar energy (%),Other fuel (%),No fuel used (%)
5397,3553,1844,3.09,3.29,5397,14.4,41.5,31.9,12.2,5397,0,0.3,4.8,0,0,0,1.9,0,93
12858,9782,3076,3.05,2.6,12858,12.4,42.5,31.5,13.6,12858,0,0.4,4,0,0,0,0.3,0.1,95.3
19295,11254,8041,2.56,2.4,19295,17.6,42.8,25.9,13.7,19295,0,0.9,4.4,0,0,0,0.3,0,94.4
1968,1440,528,2.93,2.86,1968,13.5,39.6,29.6,17.4,1968,0,0.8,2.8,0,0,0,0,0,96.3
8934,6452,2482,3.05,2.57,8934,10.9,41.2,33.2,14.7,8934,0.1,1.3,4.6,0,0,0,0.3,0,93.8
514,310,204,2.33,2.75,514,9.7,45.5,24.7,20,514,0,0,0,0,0,0,0,0,100
23319,14466,8853,2.82,2.56,23319,14.6,45.4,26.9,13.1,23319,0,0.6,7.5,0,0,0,0.2,0,91.7
3342,2366,976,3.17,2.73,3342,10.2,42.9,31.7,15.2,3342,0,1,6.4,0,0,0,0,0,92.6
7820,5707,2113,2.83,3.13,7820,9.1,38.5,36.5,15.9,7820,0,1,3,0,0,0,0,0.1,95.9
2789,2052,737,2.97,2.16,2789,7.9,42.6,35.3,14.2,2789,0,1.9,3.7,0,0,0,0.6,0,93.8
13933,10137,3796,2.89,2.72,13933,12.9,42.8,31.8,12.4,13933,0.1,1.3,5.1,0,0,0,0.1,0,93.4
7194,5033,2161,3.08,2.95,7194,12.5,43.2,32.1,12.1,7194,0,0.7,5.6,0,0,0,0.9,0,92.8
11367,8659,2708,2.89,2.86,11367,10.7,43.2,33.1,13,11367,0.1,0.9,5.4,0,0,0,0,0,93.6
396,248,148,2.89,2.58,396,32.6,35.4,15.2,16.9,396,0,0,0,0,0,0,0,0,100
296,202,94,3.62,4.7,296,0,36.1,11.1,52.7,296,0,0,0,0,0,0,0,0,100
7005,5550,1455,3.22,3.42,7005,11.3,53.2,27.1,8.4,7005,0,1.8,11.5,0.2,0,0.1,0.2,0,86.1
6032,4487,1545,3.03,2.65,6032,13.5,41.3,28.5,16.6,6032,0,0,7.2,0,0,0,0.1,0,92.7
8724,5299,3425,2.98,2.63,8724,18.5,47.7,21.7,12.2,8724,0.2,0.6,4.4,0,0,0,0.4,0.1,94.3
11863,9393,2470,3.11,2.77,11863,10.6,34.3,34.8,20.3,11863,0.3,0.7,10.1,0,0,0,1.1,0,87.8
1927,1431,496,2.51,3.21,1927,9,57.2,26.6,7.2,1927,0,1.2,7.2,0,0,0,0,0,91.6
5157,3611,1546,2.7,2.93,5157,13.2,37.2,31.7,17.9,5157,0.5,1.7,3.9,0,0,0,0.3,0,93.6
1250,952,298,2.52,2.38,1250,5.9,45.6,40,8.5,1250,0,0,3.1,0,0,0,0.7,0,96.2
