HOUSE VALUE,,,,,,,,,MORTGAGE STATUS,,,DETAILED CRIME,,,,,,,,,
Owner-occupied units,"Less than $50,000 (%)","$50,000 to $99,999 (%)","$100,000 to $149,999 (%)2","$150,000 to $199,999 (%)3","$200,000 to $299,999 (%)","$300,000 to $499,999 (%)","$500,000 to $999,999 (%)","$1,000,000 or more (%)",Owner-occupied units2,Housing units with a mortgage (%),Housing units without a mortgage (%),Violent_Crime_Index,Assault_Index,Murder_Index,Rape_Index,Robbery_Index,Property_Crime_Index,Burglary_Index,Larceny_Index,Motor_Vehicle_Theft_Index,Property_Damage_Index
3553,25.7,42.1,19.4,9.7,1.9,1.2,0,0,3553,15.2,84.8,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
9782,10.8,45.8,23.2,11.6,6.8,1.6,0.1,0.1,9782,19.2,80.8,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
11254,7.3,32.5,23.3,15.9,15.4,4.2,1.3,0,11254,31,69,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
1440,23,31.4,31.7,10.7,3.3,0,0,0,1440,13.4,86.6,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
6452,12.8,43.7,30.4,9.4,3.3,0.5,0,0,6452,29.5,70.5,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
310,6.1,30,24.5,39.4,0,0,0,0,310,34.5,65.5,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
14466,12.5,42.2,24.1,14,5.3,1.6,0,0.3,14466,39.3,60.7,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
2366,13.8,46.4,20.2,13.4,5,1.1,0,0,2366,30,70,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
5707,6.4,39.2,31,17.2,6.3,0,0,0,5707,36.3,63.7,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
2052,14.1,31.4,28.6,15.6,9,0,0,1.3,2052,20.2,79.8,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
10137,11,36.5,27.9,15.3,7.2,2.2,0,0,10137,41.1,58.9,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
5033,19.7,49,22.4,5.7,1.9,0.7,0.6,0,5033,30.2,69.8,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
8659,9.7,48.2,27.1,10.5,2.2,0.5,0,1.9,8659,27.2,72.8,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
248,5.2,59.7,8.9,14.1,8.5,3.6,0,0,248,11.3,88.7,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
202,42.6,32.7,12.9,11.9,0,0,0,0,202,51.5,48.5,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
5550,7.2,54,31.1,3.9,2.4,1.4,0,0,5550,27.9,72.1,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
4487,15.7,46.4,18.4,12.3,6.1,0.9,0.2,0,4487,24.6,75.4,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
5299,14.2,43.5,23,11.3,6.4,1.2,0.3,0,5299,28.3,71.7,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
9393,7.8,22,27.8,16.5,14.2,5.5,4.7,1.5,9393,37.2,62.8,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
1431,6.7,76.2,11.5,3.8,1.7,0,0,0,1431,7.8,92.2,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
3611,6,62.9,19.7,5.9,5.5,0,0,0,3611,40.2,59.8,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
952,5.8,39.3,38,6.3,10.6,0,0,0,952,38.2,61.8,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
2447,16.5,62.6,17.1,1.3,0.7,0.7,1.1,0,2447,13.5,86.5,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
4712,25.8,45,20.5,6.3,1.6,0.6,0.2,0,4712,18.8,81.2,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
9540,9.9,38,20.9,14,8.4,8.6,0.2,0,9540,32.6,67.4,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
4440,3.9,43.1,33.3,12.5,5.5,0.1,1.1,0.5,4440,39.8,60.2,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
8353,3.9,37.6,27.7,16.1,6.4,7,1.2,0,8353,32.8,67.2,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
3104,7.3,46.6,22.6,13.3,7.3,2.8,0,0,3104,24.6,75.4,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
5367,17.3,44.1,26.2,5.9,4.6,0.6,1.3,0,5367,25.9,74.1,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
6441,9.6,51.6,17.4,12.3,6.3,0.2,2.5,0,6441,21.3,78.7,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
2016,18.4,46.7,23.8,5.4,4.6,1.2,0,0,2016,19.3,80.7,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
10708,7.8,39,28,16.7,5.8,2.1,0.4,0.3,10708,37.8,62.2,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
8126,16.3,39.5,26.8,12.7,3,0.9,0.8,0,8126,25.9,74.1,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
3854,6,30,23.2,12.8,15.3,8.5,3.9,0.2,3854,20.7,79.3,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
6081,7.8,48,29.1,7.4,4.6,1.2,0.9,0.9,6081,27.7,72.3,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
9967,15.7,43.4,18.8,11.2,8.9,0.9,0.8,0.2,9967,23.3,76.7,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
6124,6.6,35.2,21.8,13.2,12.4,7.4,3.4,0,6124,27.6,72.4,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
7343,23.5,34.3,21,10.3,3.9,2,3.1,1.9,7343,22.2,77.8,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
